Permit Type Desc,Issued Date,Original Address 1,Original City,Original State,Original Zip,Latitude,Longitude,Location
Building Permit,8/11/2021,8012 TISDALE DR,AUSTIN,TX,78757,30.35354361,-97.71765513,"(30.35354361, -97.71765513)"
Building Permit,8/11/2021,8012 TISDALE DR,AUSTIN,TX,78757,30.35354361,-97.71765513,"(30.35354361, -97.71765513)"
Building Permit,8/11/2021,2208 MONTCLAIRE ST,AUSTIN,TX,78704,30.24914954,-97.78056849,"(30.24914954, -97.78056849)"
Building Permit,8/11/2021,6809 OASIS PASS,AUSTIN,TX,78732,30.41155186,-97.87601057,"(30.41155186, -97.87601057)"
Building Permit,8/11/2021,3614 PENNSYLVANIA AVE,AUSTIN,TX,78721,30.276063,-97.69363404,"(30.276063, -97.69363404)"
Building Permit,8/11/2021,5511 WILLIAM HOLLAND AVE,AUSTIN,TX,78756,30.32903204,-97.73712409,"(30.32903204, -97.73712409)"
Building Permit,8/11/2021,5511 WILLIAM HOLLAND AVE,AUSTIN,TX,78756,30.32903204,-97.73712409,"(30.32903204, -97.73712409)"
Building Permit,8/11/2021,1168 RIDGEWAY DR,AUSTIN,TX,78702,30.27345069,-97.70463125,"(30.27345069, -97.70463125)"
Building Permit,8/11/2021,300 W 6TH ST UNIT 150,AUSTIN,TX,78701,30.26910965,-97.74565884,"(30.26910965, -97.74565884)"
Building Permit,8/11/2021,4804 FILEY CV BLDG 2,AUSTIN,TX,78721,30.28206465,-97.68112976,"(30.28206465, -97.68112976)"
Building Permit,8/11/2021,4804 FILEY CV,AUSTIN,TX,78721,30.28206465,-97.68112976,"(30.28206465, -97.68112976)"
Building Permit,8/11/2021,2703 CARNARVON LN,AUSTIN,TX,78704,30.23404004,-97.75356045,"(30.23404004, -97.75356045)"
Building Permit,8/11/2021,1934 RUTLAND DR,AUSTIN,TX,78758,30.37972058,-97.71302423,"(30.37972058, -97.71302423)"
Building Permit,8/11/2021,1000 FOREST VIEW DR,AUSTIN,TX,78746,30.28996714,-97.79608928,"(30.28996714, -97.79608928)"
Building Permit,8/11/2021,7805 1/2 N IH 35 SVRD NB,AUSTIN,TX,78753,30.33926635,-97.69857301,"(30.33926635, -97.69857301)"
Building Permit,8/11/2021,9427 SINGING QUAIL DR,AUSTIN,TX,78758,30.37234732,-97.71237448,"(30.37234732, -97.71237448)"
Building Permit,8/11/2021,2203 THORNTON RD,AUSTIN,TX,78704,30.24572636,-97.77083574,"(30.24572636, -97.77083574)"
Building Permit,8/11/2021,2902 WINDSHILL CIR,AUSTIN,TX,78703,30.30854435,-97.76743061,"(30.30854435, -97.76743061)"
Building Permit,8/11/2021,10000 RESEARCH BLVD SVRD SB UNIT 122,AUSTIN,TX,78759,30.39314779,-97.74799619,"(30.39314779, -97.74799619)"
